"id","matricula","nome","tipo_documento","num_documento","telefone","genero","status","dt_cadastro","dt_nascimento","usuario_id"
1,269533,João da Silva,CPF,"9834555700","6799996-1792",M,Ativo,"2019-05-01","1980-05-23",""
2,269544,José Francisco do Carmo,CPF,"9834577722","6899996-1722",M,Ativo,"2023-12-01","1985-12-14",""
3,269555,Maria José Costa,CPF,"9834574400","6999996-1800",F,Ativo,"2023-03-01","1990-05-13",""
4,269566,Artemio Machado,CPF,"9204577700","1199996-1733",M,Ativo,"2023-05-01","1988-12-11",""
5,269577,Leonel de Paula,CPF,"9834577711","6699996-1392",M,Ativo,"2022-02-01","1997-01-23",""
6,269588,Luiza de Souza,CPF,"9834579900","6599996-1295",F,Ativo,"2020-06-01","2001-05-03",""
7,269599,Loren Pires,CPF,"9835577700","2199996-1891",M,Ativo,"2023-05-01","2005-08-23",""
8,269500,Ana Maria Ferreira,CPF,"9832177700","4499996-1202",F,Ativo,"2082-05-01","2000-07-18",""
9,269511,Amora Oliveira,CPF,"9834566600","6299996-1112",F,Ativo,"2023-05-01","1986-12-23",""
10,269522,Francisca Matos Freitas,CPF,"9094577700","6799996-0093",F,Ativo,"1999-07-01","1999-07-07",""
11,3638293,Luciana Ferreira,RG,"00987123",,,,"2023-12-10","1979-07-25",""
