"id","nome","tipo_documento","num_documento","telefone","email","dt_nascimento","genero","matricula","status","dt_contratacao","dt_desligamento","cargo_id","usuario_id","dt_cadastro"
1,João Santos,CPF,"134577700","6799996-1792",jsantos@email.com,"2000-12-01",M,158433,Ativo,"2023-05-01","",111,"","2023-12-05"
2,Arnaldo Fleuri,CPF,"1832227700","6599996-0003",afleuri@email.com,"2001-05-13",M,338444,Ativo,"2023-05-01","",222,"","2023-12-05"
3,Carlos da Costa,CPF,"2554576700","6999996-0292",ccarlos@email.com,"1987-12-01",M,258925,Ativo,"2023-05-01","",333,"","2023-12-05"
4,João Leonel Ferreira,CPF,"9234587601","3199996-1802",jleonel@email.com,"2005-08-10",M,254466,Ativo,"2023-05-01","",444,"","2023-12-05"
5,Bruno Guimarães,CPF,"3834533321","6699996-1796",bguima@email.com,"1991-05-10",M,238477,Desligado,"2015-05-01","2023-09-01",555,"","2023-12-05"
6,Loren Pires,CPF,"134177700","2199996-1792",lpires@email.com,"2004-06-23",F,248488,Ativo,"2023-05-01","",666,"","2023-12-05"
7,Ana Luisa Oliveira,CPF,"9123347700","6799996-4492",aluisa@email.com,"2001-11-18",F,256499,Ativo,"2023-05-01","",777,"","2023-12-05"
8,Luciana Ferreira,CPF,"9456575500","1199996-1234",lferreira@email.com,"2002-05-01",F,338422,Ativo,"2023-05-01","",111,"","2023-12-05"
9,Herminia Assunção,CPF,"9830322200","1699996-4321",hassuncao@email.com,"1995-12-01",F,282411,Ativo,"2023-05-01","",999,"","2023-12-05"
10,Marina de Paula Fonseca,CPF,"4834597910","6799996-1717",mpaula@email.com,"1980-11-22",F,118400,Aposentada,"1999-05-01","2023-08-01",999,"","2023-12-05"
11,João Pereira da Silva,CPF,"134522201","6799996-1792",jpereira@email.com,"1978-12-25",M,122201,Ativo,"2023-05-01","",111,"","2023-12-05"
12,Arthur Fidelis,CPF,"1832115507","6899996-0004",afidelis@email.com,"1994-12-17",M,158403,Ativo,"2023-05-01","",222,"","2023-12-05"
13,Roberto Carlos Guimarães,CPF,"9527533400","6999996-0295",rcarlos@email.com,"2023-05-01",M,158163,Ativo,"2023-05-01","",333,"","2023-12-05"
14,João Leonardo Paim,CPF,"834587605","7088996-1502",jleonardo@email.com,"1989-12-09",M,218304,Ativo,"2023-05-01","",444,"","2023-12-05"
15,Marcos Silva Guimarães,CPF,"22834522005","7199997-1699",msilva@email.com,"2000-12-12",M,234405,Desligado,"2015-05-01","2023-09-01",555,"","2023-12-05"
16,Lorena Calabria de Jesus,CPF,"134501752","2177996-3393",loca@email.com,"2003-07-07",F,348406,Ativo,"2023-05-01","",666,"","2023-12-05"
17,Analu Maldini,CPF,"10123532700","6299396-2299",anamaldini@email.com,"1996-03-28",F,155207,Ativo,"2023-05-01","",777,"","2023-12-05"
18,Lucia Veronica Salazar,CPF,"3456572330","1188996-4321",lver@email.com,"2004-09-25",F,290208,Ativo,"2023-05-01","",111,"","2023-12-05"
19,Herminia Esteves,CPF,"6530327200","1699666-1234",hesteves@email.com,"2000-04-20",F,250909,Ativo,"2023-05-01","",999,"","2023-12-05"
20,Marta Maria da Conceição,CPF,"4564930","6795996-2030",mmaria@email.com,"1997-12-23",F,148510,Aposentada,"1999-05-01","2023-08-01",999,"","2023-12-05"
